prompt,llm_answer,label,reason,label_name,text,true_label
"把下述给定的文本分类到以下类别中：['World', 'Sports', 'Business', 'Sci/Tech']。
    待分类文本: Wall St. Bears Claw Back Into the Black  NEW YORK (Reuters) - Short-sellers, Wall Street's dwindling  band of ultra-cynics, are seeing green again.
    按照下述格式返回：
    {
        ""llm_answer"": ""类别名"",
        ""reason"": ""简要说明为什么将文本分类到该类别中"",
    }",Business,2.0,该文本围绕华尔街金融领域的空头交易相关商业内容展开，属于商业金融范畴，因此归类到Business类别。,Business,"Wall St. Bears Claw Back Into the Black  NEW YORK (Reuters) - Short-sellers, Wall Street's dwindling  band of ultra-cynics, are seeing green again.",2
"把下述给定的文本分类到以下类别中：['World', 'Sports', 'Business', 'Sci/Tech']。
    待分类文本: USC Begins Season Where It Ended, at No. 1 (AP) AP - Southern California will begin defense of its first national title in 31 years as the No. 1 team in the nation. The Trojans earned the top spot in the preseason Associated Press poll released Saturday by receiving 48 of 65 first-place votes and 1,603 points.
    按照下述格式返回：
    {
        ""llm_answer"": ""类别名"",
        ""reason"": ""简要说明为什么将文本分类到该类别中"",
    }",Sports,1.0,该文本核心内容是介绍南加州大学校队新赛季开赛前的体育排名情况，围绕体育赛事相关内容展开，因此分类为Sports。,Sports,"USC Begins Season Where It Ended, at No. 1 (AP) AP - Southern California will begin defense of its first national title in 31 years as the No. 1 team in the nation. The Trojans earned the top spot in the preseason Associated Press poll released Saturday by receiving 48 of 65 first-place votes and 1,603 points.",1
"把下述给定的文本分类到以下类别中：['World', 'Sports', 'Business', 'Sci/Tech']。
    待分类文本: Tough Race Ahead for Swimmer Phelps  ATHENS (Reuters) - Michael Phelps, his first gold medal  safely gathered in, eased through the next phase of his  monumental Olympic challenge in the heats of the 200 meters  freestyle Sunday but the immensity of the task ahead was clear.
    按照下述格式返回：
    {
        ""llm_answer"": ""类别名"",
        ""reason"": ""简要说明为什么将文本分类到该类别中"",
    }",Sports,1.0,该文本是关于游泳运动员迈克尔·菲尔普斯奥运会游泳赛事的相关报道，内容属于体育领域，因此分类为Sports。,Sports,"Tough Race Ahead for Swimmer Phelps  ATHENS (Reuters) - Michael Phelps, his first gold medal  safely gathered in, eased through the next phase of his  monumental Olympic challenge in the heats of the 200 meters  freestyle Sunday but the immensity of the task ahead was clear.",1
"把下述给定的文本分类到以下类别中：['World', 'Sports', 'Business', 'Sci/Tech']。
    待分类文本: Tiger Runs Out of Steam After Storming Start  KOHLER, Wisconsin (Reuters) - Tiger Woods failed to make  the most of a red-hot start in the U.S. PGA Championship third  round on Saturday, having to settle for a three-under-par 69.
    按照下述格式返回：
    {
        ""llm_answer"": ""类别名"",
        ""reason"": ""简要说明为什么将文本分类到该类别中"",
    }",Sports,1.0,待分类文本内容是关于高尔夫运动员泰格·伍兹在美国PGA锦标赛第三轮的赛事情况，属于体育领域相关内容，因此分类为Sports。,Sports,"Tiger Runs Out of Steam After Storming Start  KOHLER, Wisconsin (Reuters) - Tiger Woods failed to make  the most of a red-hot start in the U.S. PGA Championship third  round on Saturday, having to settle for a three-under-par 69.",1
"把下述给定的文本分类到以下类别中：['World', 'Sports', 'Business', 'Sci/Tech']。
    待分类文本: Hacker Cracks Apple's Streaming Technology (AP) AP - The Norwegian hacker famed for developing DVD encryption-cracking software has apparently struck again  #151; this time breaking the locks on Apple Computer Inc.'s wireless music streaming technology.
    按照下述格式返回：
    {
        ""llm_answer"": ""类别名"",
        ""reason"": ""简要说明为什么将文本分类到该类别中"",
    }",Sci/Tech,3.0,待分类文本围绕黑客破解苹果公司的无线音乐流媒体技术展开，内容属于科学技术领域相关话题，因此归类为Sci/Tech。,Sci/Tech,Hacker Cracks Apple's Streaming Technology (AP) AP - The Norwegian hacker famed for developing DVD encryption-cracking software has apparently struck again  #151; this time breaking the locks on Apple Computer Inc.'s wireless music streaming technology.,3
"把下述给定的文本分类到以下类别中：['World', 'Sports', 'Business', 'Sci/Tech']。
    待分类文本: Colander Misses Chance to Emulate Jones  ATHENS (Reuters) - But for a decision that enraged her  coach, LaTasha Colander might have been the Marion Jones of the  Athens Olympics.
    按照下述格式返回：
    {
        ""llm_answer"": ""类别名"",
        ""reason"": ""简要说明为什么将文本分类到该类别中"",
    }",Sports,1.0,待分类文本内容围绕雅典奥运会的运动员相关体育赛事展开，属于体育领域相关内容，因此分类到Sports类别。,Sports,"Colander Misses Chance to Emulate Jones  ATHENS (Reuters) - But for a decision that enraged her  coach, LaTasha Colander might have been the Marion Jones of the  Athens Olympics.",1
"把下述给定的文本分类到以下类别中：['World', 'Sports', 'Business', 'Sci/Tech']。
    待分类文本: S.Koreans Clash with Police on Iraq Troop Dispatch (Reuters) Reuters - South Korean police used water cannon in\central Seoul Sunday to disperse at least 7,000 protesters\urging the government to reverse a controversial decision to\send more troops to Iraq.
    按照下述格式返回：
    {
        ""llm_answer"": ""类别名"",
        ""reason"": ""简要说明为什么将文本分类到该类别中"",
    }",World,0.0,该文本报道了韩国民众因反对政府向伊拉克增兵的决定，在首尔与警方发生冲突的国际公共事件，不属于体育、商业、科技领域内容，因此归类为World。,World,"S.Koreans Clash with Police on Iraq Troop Dispatch (Reuters) Reuters - South Korean police used water cannon in\central Seoul Sunday to disperse at least 7,000 protesters\urging the government to reverse a controversial decision to\send more troops to Iraq.",0
"把下述给定的文本分类到以下类别中：['World', 'Sports', 'Business', 'Sci/Tech']。
    待分类文本: European Download Services Go Mobile (Reuters) Reuters - The ability to download complete\tracks directly over cell-phone networks to mobile phones is\becoming a reality in Europe.
    按照下述格式返回：
    {
        ""llm_answer"": ""类别名"",
        ""reason"": ""简要说明为什么将文本分类到该类别中"",
    }",Sci/Tech,3.0,待分类文本围绕欧洲新型移动下载服务展开，介绍了可通过手机网络直接向移动设备下载完整曲目的新技术应用，属于科技领域相关内容，因此分类到Sci/Tech类别。,Sci/Tech,European Download Services Go Mobile (Reuters) Reuters - The ability to download complete\tracks directly over cell-phone networks to mobile phones is\becoming a reality in Europe.,3
"把下述给定的文本分类到以下类别中：['World', 'Sports', 'Business', 'Sci/Tech']。
    待分类文本: Oracle Sales Data Seen Being Released (Reuters) Reuters - Oracle Corp. sales documents\detailing highly confidential information, such as which\companies receive discounts on Oracle's business software\products and the size of the discounts, are likely to be made\public, a federal judge said on Friday.
    按照下述格式返回：
    {
        ""llm_answer"": ""类别名"",
        ""reason"": ""简要说明为什么将文本分类到该类别中"",
    }",Business,2.0,该文本是围绕甲骨文公司的商业销售机密文件公开事项展开的商业新闻，不属于世界时政、体育、科学技术类内容，因此归类为Business。,Sci/Tech,"Oracle Sales Data Seen Being Released (Reuters) Reuters - Oracle Corp. sales documents\detailing highly confidential information, such as which\companies receive discounts on Oracle's business software\products and the size of the discounts, are likely to be made\public, a federal judge said on Friday.",3
"把下述给定的文本分类到以下类别中：['World', 'Sports', 'Business', 'Sci/Tech']。
    待分类文本: Palestinians in Israeli Jails Start Hunger Strike (Reuters) Reuters - Thousands of Palestinian\prisoners in Israeli jails began a hunger strike for better\conditions Sunday, but Israel's security minister said he\didn't care if they starved to death.
    按照下述格式返回：
    {
        ""llm_answer"": ""类别名"",
        ""reason"": ""简要说明为什么将文本分类到该类别中"",
    }",World,0.0,该文本报道了巴勒斯坦囚犯在以色列监狱发起绝食的国际时政事件，属于世界新闻范畴，不属于体育、商业、科技领域内容，因此分类为World。,World,"Palestinians in Israeli Jails Start Hunger Strike (Reuters) Reuters - Thousands of Palestinian\prisoners in Israeli jails began a hunger strike for better\conditions Sunday, but Israel's security minister said he\didn't care if they starved to death.",0
"把下述给定的文本分类到以下类别中：['World', 'Sports', 'Business', 'Sci/Tech']。
    待分类文本: Iranian Will Not Meet Israeli in Olympics Due to Weight  ATHENS (Reuters) - A diplomatic wrangle of Olympic  proportions was avoided Sunday when Iranian world judo champion  Arash Miresmaeili failed to make the weight for his clash with  an Israeli opponent.
    按照下述格式返回：
    {
        ""llm_answer"": ""类别名"",
        ""reason"": ""简要说明为什么将文本分类到该类别中"",
    }",Sports,1.0,待分类文本内容围绕奥运会柔道项目的相关赛事事件展开，核心属于体育领域范畴，因此分类为Sports。,Sports,Iranian Will Not Meet Israeli in Olympics Due to Weight  ATHENS (Reuters) - A diplomatic wrangle of Olympic  proportions was avoided Sunday when Iranian world judo champion  Arash Miresmaeili failed to make the weight for his clash with  an Israeli opponent.,1
"把下述给定的文本分类到以下类别中：['World', 'Sports', 'Business', 'Sci/Tech']。
    待分类文本: Oil and Economy Cloud Stocks' Outlook  NEW YORK (Reuters) - Soaring crude prices plus worries  about the economy and the outlook for earnings are expected to  hang over the stock market next week during the depth of the  summer doldrums.
    按照下述格式返回：
    {
        ""llm_answer"": ""类别名"",
        ""reason"": ""简要说明为什么将文本分类到该类别中"",
    }",Business,2.0,该文本围绕原油价格、经济担忧以及股票市场前景展开讨论，内容属于商业经济领域，因此分类为Business。,Business,Oil and Economy Cloud Stocks' Outlook  NEW YORK (Reuters) - Soaring crude prices plus worries  about the economy and the outlook for earnings are expected to  hang over the stock market next week during the depth of the  summer doldrums.,2
"把下述给定的文本分类到以下类别中：['World', 'Sports', 'Business', 'Sci/Tech']。
    待分类文本: Rwanda Troops Airlifted to Start AU Mission in Darfur (Reuters) Reuters - Rwandan troops were airlifted on Sunday\to Sudan's Darfur as the first foreign force there, mandated to\protect observers monitoring a cease-fire between the Sudanese\government and rebels in the troubled western region.
    按照下述格式返回：
    {
        ""llm_answer"": ""类别名"",
        ""reason"": ""简要说明为什么将文本分类到该类别中"",
    }",World,0.0,该文本报道了卢旺达部队前往苏丹达尔富尔执行非盟任务的国际时政事件，属于世界新闻范畴，符合World类别的内容定位，不属于体育、商业、科技类内容。,World,"Rwanda Troops Airlifted to Start AU Mission in Darfur (Reuters) Reuters - Rwandan troops were airlifted on Sunday\to Sudan's Darfur as the first foreign force there, mandated to\protect observers monitoring a cease-fire between the Sudanese\government and rebels in the troubled western region.",0
"把下述给定的文本分类到以下类别中：['World', 'Sports', 'Business', 'Sci/Tech']。
    待分类文本: Fed minutes show dissent over inflation (USATODAY.com) USATODAY.com - Retail sales bounced back a bit in July, and new claims for jobless benefits fell last week, the government said Thursday, indicating the economy is improving from a midsummer slump.
    按照下述格式返回：
    {
        ""llm_answer"": ""类别名"",
        ""reason"": ""简要说明为什么将文本分类到该类别中"",
    }",Business,2.0,该文本围绕美联储通胀分歧、美国零售销售数据、失业救济申领数据及经济走势等商业经济相关话题展开，符合Business类别的内容范畴。,Business,"Fed minutes show dissent over inflation (USATODAY.com) USATODAY.com - Retail sales bounced back a bit in July, and new claims for jobless benefits fell last week, the government said Thursday, indicating the economy is improving from a midsummer slump.",2
"把下述给定的文本分类到以下类别中：['World', 'Sports', 'Business', 'Sci/Tech']。
    待分类文本: Carlyle Looks Toward Commercial Aerospace (Reuters) Reuters - Private investment firm Carlyle Group,\which has a reputation for making well-timed and occasionally\controversial plays in the defense industry, has quietly placed\its bets on another part of the market.
    按照下述格式返回：
    {
        ""llm_answer"": ""类别名"",
        ""reason"": ""简要说明为什么将文本分类到该类别中"",
    }",Business,2.0,该文本围绕私人投资公司凯雷集团的商业投资布局展开，讲述其在商业航空领域的市场投资动作，内容属于商业投资范畴，因此分类为Business。,Business,"Carlyle Looks Toward Commercial Aerospace (Reuters) Reuters - Private investment firm Carlyle Group,\which has a reputation for making well-timed and occasionally\controversial plays in the defense industry, has quietly placed\its bets on another part of the market.",2
"把下述给定的文本分类到以下类别中：['World', 'Sports', 'Business', 'Sci/Tech']。
    待分类文本: Safety Net (Forbes.com) Forbes.com - After earning a PH.D. in Sociology, Danny Bazil Riley started to work as the general manager at a commercial real estate firm at an annual base salary of  #36;70,000. Soon after, a financial planner stopped by his desk to drop off brochures about insurance benefits available through his employer. But, at 32, ""buying insurance was the furthest thing from my mind,"" says Riley.
    按照下述格式返回：
    {
        ""llm_answer"": ""类别名"",
        ""reason"": ""简要说明为什么将文本分类到该类别中"",
    }",Business,2.0,该文本出自商业媒体福布斯，内容围绕职场薪资、雇主提供的金融保险产品展开，属于财经商业相关内容，符合商业类别的范畴。,Business,"Safety Net (Forbes.com) Forbes.com - After earning a PH.D. in Sociology, Danny Bazil Riley started to work as the general manager at a commercial real estate firm at an annual base salary of  #36;70,000. Soon after, a financial planner stopped by his desk to drop off brochures about insurance benefits available through his employer. But, at 32, ""buying insurance was the furthest thing from my mind,"" says Riley.",2
"把下述给定的文本分类到以下类别中：['World', 'Sports', 'Business', 'Sci/Tech']。
    待分类文本: Venezuelans Vote Early in Referendum on Chavez Rule (Reuters) Reuters - Venezuelans turned out early\and in large numbers on Sunday to vote in a historic referendum\that will either remove left-wing President Hugo Chavez from\office or give him a new mandate to govern for the next two\years.
    按照下述格式返回：
    {
        ""llm_answer"": ""类别名"",
        ""reason"": ""简要说明为什么将文本分类到该类别中"",
    }",World,0.0,该文本是路透社对委内瑞拉关于总统执政的全民公投这一国际政治事件的报道，属于世界新闻范畴，不符合体育、商业、科技类别的特征，因此归类为World。,World,Venezuelans Vote Early in Referendum on Chavez Rule (Reuters) Reuters - Venezuelans turned out early\and in large numbers on Sunday to vote in a historic referendum\that will either remove left-wing President Hugo Chavez from\office or give him a new mandate to govern for the next two\years.,0
"把下述给定的文本分类到以下类别中：['World', 'Sports', 'Business', 'Sci/Tech']。
    待分类文本: Stocks End Up, But Near Year Lows (Reuters) Reuters - Stocks ended slightly higher on Friday\but stayed near lows for the year as oil prices surged past  #36;46\a barrel, offsetting a positive outlook from computer maker\Dell Inc. (DELL.O)
    按照下述格式返回：
    {
        ""llm_answer"": ""类别名"",
        ""reason"": ""简要说明为什么将文本分类到该类别中"",
    }",Business,2.0,待分类文本主要围绕股票市场收盘表现、油价对股市的影响以及戴尔公司的市场前景展开，内容属于商业金融领域，因此归类为Business。,Business,"Stocks End Up, But Near Year Lows (Reuters) Reuters - Stocks ended slightly higher on Friday\but stayed near lows for the year as oil prices surged past  #36;46\a barrel, offsetting a positive outlook from computer maker\Dell Inc. (DELL.O)",2
"把下述给定的文本分类到以下类别中：['World', 'Sports', 'Business', 'Sci/Tech']。
    待分类文本: Dreaming done, NBA stars awaken to harsh Olympic reality (AFP) AFP - National Basketball Association players trying to win a fourth consecutive Olympic gold medal for the United States have gotten the wake-up call that the ""Dream Team"" days are done even if supporters have not.
    按照下述格式返回：
    {
        ""llm_answer"": ""类别名"",
        ""reason"": ""简要说明为什么将文本分类到该类别中"",
    }",Sports,1.0,该文本围绕NBA球星参与奥运会篮球赛事的相关内容展开，属于体育领域的话题，因此分类为Sports。,Sports,"Dreaming done, NBA stars awaken to harsh Olympic reality (AFP) AFP - National Basketball Association players trying to win a fourth consecutive Olympic gold medal for the United States have gotten the wake-up call that the ""Dream Team"" days are done even if supporters have not.",1
"把下述给定的文本分类到以下类别中：['World', 'Sports', 'Business', 'Sci/Tech']。
    待分类文本: Indians Beat Twins 7-1, Nearing AL Lead (AP) AP - The Cleveland Indians pulled within one game of the AL Central lead, scoring four runs in the first inning and beating the Minnesota Twins 7-1 Saturday night behind home runs by Travis Hafner and Victor Martinez.
    按照下述格式返回：
    {
        ""llm_answer"": ""类别名"",
        ""reason"": ""简要说明为什么将文本分类到该类别中"",
    }",Sports,1.0,待分类文本是关于职业棒球赛事的比赛结果报道，内容属于体育领域，因此分类到Sports类别。,Sports,"Indians Beat Twins 7-1, Nearing AL Lead (AP) AP - The Cleveland Indians pulled within one game of the AL Central lead, scoring four runs in the first inning and beating the Minnesota Twins 7-1 Saturday night behind home runs by Travis Hafner and Victor Martinez.",1
"把下述给定的文本分类到以下类别中：['World', 'Sports', 'Business', 'Sci/Tech']。
    待分类文本: Apple to open second Japanese retail store this month (MacCentral) MacCentral - Apple Computer Inc. will open its second Japanese retail store later this month in the western Japanese city of Osaka, it said Thursday.
    按照下述格式返回：
    {
        ""llm_answer"": ""类别名"",
        ""reason"": ""简要说明为什么将文本分类到该类别中"",
    }",Sci/Tech,3.0,文本报道了科技企业苹果电脑公司在日本开设第二家零售店的相关动态，属于科技领域相关资讯，不属于世界新闻、体育、泛商业新闻范畴，因此分类为Sci/Tech。,Sci/Tech,"Apple to open second Japanese retail store this month (MacCentral) MacCentral - Apple Computer Inc. will open its second Japanese retail store later this month in the western Japanese city of Osaka, it said Thursday.",3
"把下述给定的文本分类到以下类别中：['World', 'Sports', 'Business', 'Sci/Tech']。
    待分类文本: Edwards Calls for Changes to Drug Plans (AP) AP - Democratic vice presidential candidate John Edwards called for changes to prescription drug programs and praised running mate John Kerry's military and government service at an outdoor campaign rally here Saturday.
    按照下述格式返回：
    {
        ""llm_answer"": ""类别名"",
        ""reason"": ""简要说明为什么将文本分类到该类别中"",
    }",World,0.0,该文本是关于美国民主党副总统候选人竞选活动的政治类新闻，不属于体育、商业、科技领域，因此归类为World。,World,Edwards Calls for Changes to Drug Plans (AP) AP - Democratic vice presidential candidate John Edwards called for changes to prescription drug programs and praised running mate John Kerry's military and government service at an outdoor campaign rally here Saturday.,0
"把下述给定的文本分类到以下类别中：['World', 'Sports', 'Business', 'Sci/Tech']。
    待分类文本: AL Wrap: Olerud Cheers Yankees by Sinking Ex-Team  NEW YORK (Reuters) - John Olerud sunk his former team by  recording a two-run single in the eighth inning to drive in the  go-ahead runs which earned the New York Yankees a 6-4 win over  the host Seattle Mariners in the American League Saturday.   
    按照下述格式返回：
    {
        ""llm_answer"": ""类别名"",
        ""reason"": ""简要说明为什么将文本分类到该类别中"",
    }",Sports,1.0,该文本是职业棒球比赛的赛事报道，内容围绕棒球比赛的过程和结果展开，属于体育相关内容，因此分类为Sports。,Sports,AL Wrap: Olerud Cheers Yankees by Sinking Ex-Team  NEW YORK (Reuters) - John Olerud sunk his former team by  recording a two-run single in the eighth inning to drive in the  go-ahead runs which earned the New York Yankees a 6-4 win over  the host Seattle Mariners in the American League Saturday.   ,1
"把下述给定的文本分类到以下类别中：['World', 'Sports', 'Business', 'Sci/Tech']。
    待分类文本: No Need for OPEC to Pump More-Iran Gov  TEHRAN (Reuters) - OPEC can do nothing to douse scorching  oil prices when markets are already oversupplied by 2.8 million  barrels per day (bpd) of crude, Iran's OPEC governor said  Saturday, warning that prices could fall sharply.
    按照下述格式返回：
    {
        ""llm_answer"": ""类别名"",
        ""reason"": ""简要说明为什么将文本分类到该类别中"",
    }",Business,2.0,该文本围绕原油市场供应、石油价格以及OPEC的石油生产决策展开，属于商业经济领域的相关内容，因此分类为Business。,Business,"No Need for OPEC to Pump More-Iran Gov  TEHRAN (Reuters) - OPEC can do nothing to douse scorching  oil prices when markets are already oversupplied by 2.8 million  barrels per day (bpd) of crude, Iran's OPEC governor said  Saturday, warning that prices could fall sharply.",2
"把下述给定的文本分类到以下类别中：['World', 'Sports', 'Business', 'Sci/Tech']。
    待分类文本: Sun's Looking Glass Provides 3D View (PC World) PC World - Developers get early code for new operating system 'skin' still being crafted.
    按照下述格式返回：
    {
        ""llm_answer"": ""类别名"",
        ""reason"": ""简要说明为什么将文本分类到该类别中"",
    }",Sci/Tech,3.0,待分类文本内容围绕3D视图、新操作系统皮肤的开发相关科技内容展开，属于科技领域范畴，因此分类为Sci/Tech,Sci/Tech,Sun's Looking Glass Provides 3D View (PC World) PC World - Developers get early code for new operating system 'skin' still being crafted.,3
